date,"Korea, South",US,United Kingdom,Germany,France
2020-01-22,1,1,0,0,0
2020-01-23,1,1,0,0,0
2020-01-24,2,2,0,0,2
2020-01-25,2,2,0,0,3
2020-01-26,3,5,0,0,3
2020-01-27,4,5,0,1,3
2020-01-28,4,5,0,4,4
2020-01-29,4,5,0,4,5
2020-01-30,4,5,0,4,5
2020-01-31,11,7,2,5,5
2020-02-01,12,8,2,8,6
2020-02-02,15,8,2,10,6
2020-02-03,15,11,2,12,6
2020-02-04,16,11,2,12,6
2020-02-05,19,11,2,12,6
2020-02-06,23,11,2,12,6
2020-02-07,24,11,3,13,6
2020-02-08,24,11,3,13,11
2020-02-09,25,11,3,14,11
2020-02-10,27,11,8,14,11
2020-02-11,28,12,8,16,11
2020-02-12,28,12,9,16,11
2020-02-13,28,13,9,16,11
2020-02-14,28,13,9,16,11
2020-02-15,28,13,9,16,13
2020-02-16,29,13,9,16,13
2020-02-17,30,13,9,16,13
2020-02-18,31,13,9,16,13
2020-02-19,31,13,9,16,13
2020-02-20,105,13,9,16,13
2020-02-21,206,15,9,16,13
2020-02-22,435,15,9,16,13
2020-02-23,608,15,9,16,13
2020-02-24,841,15,13,16,13
2020-02-25,987,15,13,17,15
2020-02-26,1273,15,13,27,20
2020-02-27,1779,16,15,46,40
2020-02-28,2350,16,20,48,59
2020-02-29,3166,25,23,79,102
2020-03-01,3753,31,36,130,132
2020-03-02,4363,59,40,159,194
2020-03-03,5214,80,51,196,208
2020-03-04,5656,115,86,262,292
2020-03-05,6123,186,116,482,386
2020-03-06,6635,236,165,670,665
2020-03-07,7085,354,209,799,970
2020-03-08,7364,472,276,1040,1155
2020-03-09,7531,541,325,1178,1238
2020-03-10,7567,739,391,1459,1827
2020-03-11,7815,1141,466,1911,2341
2020-03-12,7935,1604,468,2081,2341
2020-03-13,8045,2209,812,3682,3760
2020-03-14,8158,2929,1172,4594,4587
2020-03-15,8237,3040,1188,5806,4623
2020-03-16,8311,4460,1617,7289,6832
2020-03-17,8401,6275,2042,9281,7864
2020-03-18,8497,9105,2758,12355,9273
2020-03-19,8656,14422,2875,15364,11214
2020-03-20,8746,19845,4209,19915,13209
2020-03-21,8901,26274,5318,22297,15026
2020-03-22,9072,34356,6031,24967,16919
2020-03-23,9072,44629,7086,29179,20985
2020-03-24,9157,55127,8673,33143,23724
2020-03-25,9263,67373,10335,37529,26933
2020-03-26,9372,85816,12691,44205,31249
2020-03-27,9471,104538,15908,51213,35399
2020-03-28,9622,124975,18769,58128,40422
2020-03-29,9735,144740,21452,62628,43319
2020-03-30,9819,167042,24499,67530,48200
2020-03-31,9948,194269,27910,72583,56359
2020-04-01,10052,220981,32965,78792,62163
2020-04-02,10145,252942,37925,85901,65327
2020-04-03,10236,286181,43156,92434,71722
2020-04-04,10333,320611,47705,97536,77074
2020-04-05,10420,349896,54310,101707,79505
2020-04-06,10470,381195,58724,105184,84269
2020-04-07,10523,414282,63432,109679,89506
2020-04-08,10584,448055,69993,115645,93944
2020-04-09,10627,484857,75495,120788,99594
2020-04-10,10658,520429,85381,124938,104953
2020-04-11,10691,552456,91490,127644,108714
2020-04-12,10726,582755,97508,130876,136124
2020-04-13,10754,609846,102617,133266,140380
2020-04-14,10786,639274,108940,134653,146096
2020-04-15,10816,670918,114424,138557,150754
2020-04-16,10842,704303,120119,141750,163997
2020-04-17,10865,739617,126679,145749,166767
2020-04-18,10885,770283,133342,147801,167411
2020-04-19,10895,797523,139699,149770,172731
2020-04-20,10910,826634,144948,151927,175660
2020-04-21,10920,854527,150436,153324,178966
2020-04-22,10932,885063,155749,155927,177322
2020-04-23,10948,921586,161086,158704,180161
2020-04-24,10958,959654,167493,160759,182200
